ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,region
xakr1238,Xakriabá,,-19.0,-47.0,xakr1238,,Eastern South America
xhos1239,Xhosa,,-31.0389,28.0769,xhos1239,,Southern Africa
yaka1272,Yaka (Central African Republic),,3.6515,17.2713,yaka1272,,Central Africa
yaku1245,Sakha,,61.69744,133.98031,yaku1245,,North Asia
yami1254,Yami,,22.055,121.544,yami1254,,East Asia
yano1262,Yanomám,,2.48999,-62.8522,yano1262,,Amazon and Orinoco
yaoo1241,Yao,,-13.6119,35.2387,yaoo1241,,Southern Africa
yape1248,Yapese,,9.55811,138.125,yape1248,,Micronesia
yaqu1251,Yaqui,,29.9446,-110.681,yaqu1251,,Northern Mexico
yawa1261,Yawalapití,,-12.5104,-53.4236,yawa1261,,Amazon and Orinoco
yuca1254,Yucatec Maya,,18.7757,-88.9567,yuca1254,,Maya Area
yuul1239,Yuulngu,,,,yuul1239,,Australia
zezu1238,Zezuru,,,,zezu1238,,Southern Africa
zulu1248,Zulu,,-28.9,30.2,zulu1248,,Southern Africa
zuni1245,Zuni,,35.0056,-108.782,zuni1245,,Southwest and Basin
